Id,Notes,Tag,Hash
6917529971510807039,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Selected main-trait pair is duplicated by a stronger retained copy; legal main-trait options are covered by a stronger copy. Retain Abide the Return ID 6917529961365473479. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,250721843
6917530186052475218,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 3.5 below the best copy. Retain Agape ID 6917530188027105778. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,4124362340
6917530186063785629,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Selected main-trait pair is duplicated by a stronger retained copy; legal main-trait options are covered by a stronger copy. Retain Agape ID 6917530186089352609. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,4124362340
6917530186306265928,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Selected main-trait pair is duplicated by a stronger retained copy. Retain Aurora Dawn ID 6917530189846437889. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,2111625436
6917530189375466572,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Selected main-trait pair is duplicated by a stronger retained copy. Retain Aurora Dawn ID 6917530189846437889. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,2111625436
6917530191318328840,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Selected main-trait pair is duplicated by a stronger retained copy. Retain Aurora Dawn ID 6917530189846437889. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,2111625436
6917530029617827498,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 3.3 below the best copy. Retain Axial Lacuna ID 6917530025492912305. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,3867373351
6917530188309009396,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 3.5 below the best copy. Retain Cartesian Coordinate ID 6917530186182158477. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,3719824177
6917530021130544255,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 3.0 below the best copy. Retain Combined Action ID 6917530022765497533. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,1331824604
6917530191316852304,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. All legal main-trait combinations are covered by the retained copy. Stat utility difference +4.9; stat-option quality +1.2. Retain Convened Recurve ID 6917530191298343377. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,3667861447
6917529980841009926,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 5.3 below the best copy. Retain Geodetic HSm ID 6917529973007583923. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,3637669759
6917530021194755036,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 4.8 below the best copy. Retain Geodetic HSm ID 6917529973007583923. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,3637669759
6917529961357746282,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 4.0 below the best copy. Retain Heliocentric QSc ID 6917529959998529816. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,3998080529
6917530020562998236,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 4.5 below the best copy. Retain Heliocentric QSc ID 6917529959998529816. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,3998080529
6917530188309002858,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 5.3 below the best copy. Retain Last Foray ID 6917530186173514903. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,4118936670
6917529975880454186,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 3.3 below the best copy. Retain Lethophobia ID 6917529961019308672. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,3710082365
6917530189642669576,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. All legal main-trait combinations are covered by the retained copy. Stat utility difference +1.8; stat-option quality +0.0. Retain Main Ingredient ID 6917530191290366809. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,4046741099
6917530064716810577,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 4.1 below the best copy. Retain Marcato-45 ID 6917529972540775201. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,4233375372
6917530071964450524,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Best legal perk combo scores 3.0 below the best copy. Retain Neoptolemus II ID 6917530063402085060. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",junk,2848549302
